Contrast 0,Contrast 45,Contrast 90,Contrast 135,Dissimilarity 0,Dissimilarity 45,Dissimilarity 90,Dissimilarity 135,Homogeneity 0,Homogeneity 45,Homogeneity 90,Homogeneity 135,Energy 0,Energy 45,Energy 90,Energy 135,Correlation 0,Correlation 45,Correlation 90,Correlation 135
17.63816269,32.82333374,18.21724526,33.27088928,2.64895428,3.498687744,2.647783925,3.561172485,0.3822472335,0.3147528165,0.3803123504,0.3149530123,0.06152456576,0.05451936719,0.06071560439,0.05472314154,0.9959436329,0.9924715099,0.995812662,0.9923688844
20.20224343,37.98880005,20.61616914,37.63391113,2.730757539,3.648651123,2.663834509,3.593811035,0.3845258963,0.3132814895,0.378411608,0.3155747043,0.059090742,0.05252944679,0.05862898884,0.05273089464,0.9948909383,0.9904186146,0.9947886103,0.9905082141
19.38190054,33.87345886,18.55103964,36.09008789,2.609375,3.500839233,2.687104815,3.601867676,0.3887934854,0.3146820062,0.3772435117,0.3163946076,0.06319810666,0.05589250694,0.0617029971,0.05621885838,0.9955277669,0.9921987132,0.9957166787,0.9916881979
16.96285263,31.6603241,17.536585,31.53791809,2.511247568,3.373214722,2.55260518,3.356246948,0.405805072,0.3331470948,0.3913707493,0.3310220626,0.07119330114,0.06289456941,0.06906829862,0.06269970946,0.9963741982,0.9932521971,0.9962522648,0.9932782804
25.6093598,44.50778198,24.54354633,48.12490845,3.02290552,3.978820801,2.963050219,4.039215088,0.3591417669,0.2894013872,0.3539618653,0.2929802897,0.04313122631,0.0379796486,0.04246977903,0.03794613574,0.9959358481,0.9929345725,0.9961052127,0.9923603947
23.60384241,44.23303223,22.04150961,39.9616394,2.978568823,4.05758667,2.94426374,3.881896973,0.3621039935,0.2916685373,0.3487247838,0.2912902816,0.04088398188,0.0359528027,0.04006901576,0.03602504931,0.9950807969,0.9907962763,0.9954036992,0.9916851612
18.57216683,37.43833923,21.11905703,34.56932068,2.753678259,3.902084351,2.931344236,3.68977356,0.3642818177,0.2906628405,0.3529669081,0.297205709,0.05030699827,0.04387092122,0.04870969384,0.04435841782,0.9960243831,0.9920002376,0.9954742165,0.9926132308
20.75867887,38.72087097,20.48625973,37.34277344,2.757614908,3.677719116,2.685007296,3.616027832,0.3735810798,0.3028696327,0.371891635,0.3106016098,0.04831723046,0.04268108467,0.04801376056,0.04294941342,0.9962843736,0.9930650605,0.9963251468,0.9933119341
18.718674,32.23023987,17.48809886,33.44818115,2.631398954,3.406356812,2.567531007,3.499755859,0.3943852699,0.3255841095,0.3854385075,0.32045127,0.06979618407,0.06207006443,0.06866229801,0.06215440393,0.9965268712,0.9940365799,0.9967559559,0.9938112225
20.28456347,35.65602112,19.07537391,37.23200989,2.71379499,3.611068726,2.682924976,3.692062378,0.3830464807,0.3108525937,0.374776628,0.311421229,0.0584674706,0.05172443776,0.05732036751,0.05161041626,0.9955074226,0.9921197562,0.9957757829,0.9917714935
